State,Total Adopted,Adopted Children,Same Sex Spouse,Same Sex Couple
Alabama,24944,301,4234,"7,589"
Alaska,691,594,573,"1,462"
Arizona,28966,543,7362,"17,827"
Arkansas,15973,1040,3655,"6,228"
California,167190,16458,35815,"104,723"
Colorado,29438,616,5879,"15,272"
Connecticut,19239,873,4725,"9,546"
Delaware,3452,0,982,"2,598"
District of Columbia,2649,758,613,"4,320"
Florida,82179,962,21727,"53,648"
Georgia,49194,2377,9997,"24,266"
Hawaii,6941,95,743,"2,353"
Idaho,9562,0,1578,"2,657"
Illinois,73638,1887,13705,"30,524"
Indiana,37004,725,7835,"14,093"
Iowa,18569,95,3478,"6,124"
Kansas,19733,462,3017,"5,038"
Kentucky,20661,248,4385,"8,003"
Louisiana,22827,469,4601,"8,059"
Maine,7137,323,1718,"4,350"
Maryland,32269,2142,7460,"15,640"
Massachusetts,35647,5828,14619,"23,023"
Michigan,61232,959,11582,"23,072"
Minnesota,31378,1328,6751,"13,084"
Mississippi,16300,286,3344,"4,407"
Missouri,33156,161,7043,"13,650"
Montana,6803,95,1058,"1,831"
Nebraska,11812,367,2187,"3,784"
Nevada,10588,279,3928,"7,398"
New Hampshire,6864,0,1344,"3,643"
New Jersey,42614,2344,10921,"20,567"
New Mexico,11764,1056,1908,"6,059"
New York,100736,7042,19491,"54,144"
North Carolina,42911,499,10732,"19,765"
North Dakota,3647,0,760,807
Ohio,62653,1335,12336,"24,973"
Oklahoma,"23,518",183,4281,"7,987"
Oregon,"23,901",1232,4814,"13,227"
Pennsylvania,62328,1950,14866,"29,792"
Rhode Island,5496,176,1578,"3,222"
South Carolina,5691,279,5165,"9,655"
South Dakota,5691,0,761,"1,168"
Tennessee,30980,384,6747,"13,827"
Texas,110275,3588,21921,"48,179"
Utah,19430,367,2142,"4,549"
Vermont,4181,235,716,"1,905"
Virginia,38879,1143,9035,"18,144"
Washington,38879,3004,8331,"21,307"
West Virginia,9849,0,2466,"3,795"
Wisconsin,30583,257,5156,"11,186"
Wyoming,3997,0,796,"1,148"
