2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
3903,4258,2936,2905,2716,1625,1777,1865,1857,4234,6312,5617
1073,694,497,171,275,114,355,194,276,573,492,527
10885,7356,5937,3869,3347,2659,2634,2271,2384,7362,7248,6162
2228,3097,2461,1025,1167,947,975,1017,1159,3655,3397,4181
73920,67153,53336,40280,27679,29171,28897,28110,23377,35815,40992,43216
9878,10112,5575,3681,1843,2218,1999,2486,2303,5879,5231,7639
5382,6126,5907,4730,4703,3699,3900,3067,2375,4725,4235,5300
2221,2324,2013,858,663,501,539,886,494,982,1013,939
3729,2485,2387,1646,1372,1762,210,407,225,613,981,577
38956,24655,18383,13384,10036,9001,8147,9331,9157,21727,22042,25377
13830,9603,7214,5984,4677,5076,3131,3269,4217,9997,13952,11308
2466,2274,1769,669,618,1172,1475,1346,1060,743,1639,1588
1784,1368,732,811,923,408,776,1162,483,1578,2211,1314
16804,15410,12839,10635,7038,6654,4642,5030,6420,13705,16068,15546
8397,8469,5694,3600,3306,1691,1927,2189,2675,7835,8366,7951
3847,3128,4651,2619,2975,1777,2100,1521,1714,3478,4575,3762
2886,3578,2541,1545,1554,1152,800,1283,646,3017,3643,4017
4956,4551,2842,3233,2018,1594,1487,1782,1928,4385,5378,5932
4126,4092,3188,2291,1903,2533,1285,1392,1743,4601,5375,5025
2285,3200,2476,1667,1241,507,970,559,767,1718,1235,1672
11303,10388,8521,7582,4449,3524,2569,2745,1787,7460,8058,8100
17626,16506,13820,14267,10520,10842,9762,9386,8953,14619,13199,13439
10508,7173,6522,5514,3274,2685,3787,2999,4035,11582,12894,13302
8329,8105,7560,4649,3101,2652,2668,1506,1733,6751,6756,6995
1989,1498,1599,1867,1597,1373,1132,1214,899,3344,2404,2844
7663,5847,4936,4181,2611,2008,1716,2800,1942,7043,8195,8023
1076,543,539,538,513,349,668,385,337,1058,1736,1073
2003,1687,961,1375,822,911,1275,755,490,2187,2084,2515
5463,4219,2268,2120,1157,1233,1171,1084,1759,3928,3472,3345
3337,2844,2537,2415,1488,1782,1325,877,387,1344,2089,3000
13782,11436,9609,6513,4882,5598,4797,5133,5374,10921,10937,11310
3038,3852,2413,1160,1161,853,600,955,910,1908,2620,2055
35858,36055,29227,24804,17337,14580,10944,8864,8969,19491,22379,23697
12426,10905,8325,6474,4892,3714,3755,4430,4150,10732,12501,10315
846,657,349,467,201,232,225,672,177,760,892,1070
12095,11121,8977,5830,5123,4950,3347,5354,4506,12336,15843,17143
5086,5192,3510,2049,1404,1678,1313,1457,1266,4281,4695,5017
8388,8416,6154,2487,2199,2446,2294,1789,2258,4814,5184,4991
17426,14826,11662,7677,5606,6097,5964,4704,6485,14866,16273,17031
2449,1828,1088,1483,878,598,708,891,654,1578,1317,1401
6454,3421,4161,2579,1828,1560,1074,2319,2580,5165,6246,6739
610,814,331,643,756,558,398,295,448,761,732,931
7380,6574,4861,2656,3229,3451,2060,2386,2478,6747,9667,8386
34703,27217,20294,15019,10305,8302,9211,9193,10065,21921,26923,25848
3431,3267,3355,1999,308,1690,976,758,1984,2142,3823,2545
1623,2380,1625,1411,1196,684,610,817,678,716,1492,1018
11885,10714,7782,5159,3816,3944,3776,3160,3185,9035,9528,10721
17196,14951,12524,7537,4140,2459,2901,3027,2876,8331,8275,10421
1476,2202,1004,942,705,694,636,307,764,2466,2294,2574
7358,6161,4637,3962,2230,2151,2582,2355,2053,5156,8051,7849
615,441,372,635,179,222,476,296,475,796,738,952
